count;date;ip;url;count_page;userID;adblock;tokenid;screen_size;exercise_input;exercise_type;exercise_score
270;"2021-01-03 10:08:28";212f2610bcc25326cb6ea19f9ffbbe86;https://www.esercizinglese.com/lezioni-inglesi/esercizi/12/1/alcune-preposizioni-semplici;208;89275;0;60f74253-bb15-478e-8870-27fc1adabcb6;1349;|with|of|about|to|from|with;grammar_exercise;86
1269;"2021-01-03 10:54:17";d173ba1133b586a2f4a9fbeb05fb9f72;https://www.esercizinglese.com/lezioni-inglesi/esercizi/88/1/pronomi-e-gli-aggettivi-escamativi;496;89433;0;efad7f4c-f549-4099-9e25-861fc19ac9c2;1349;|what|how|how|what|how|what;grammar_exercise;86
1281;"2021-01-03 10:54:45";5752856995bbcb2c3f1278b3aa3b0f3c;https://www.esercizinglese.com/lezioni-inglesi/esercizi/5/2/l-articolo;29;89702;0;8024d0e9-eff1-4fa9-8a79-0d31607ee3bc;1349;"|the|the|a|the |a|a|the |an|a";grammar_exercise;60
1302;"2021-01-03 10:56:05";d173ba1133b586a2f4a9fbeb05fb9f72;https://www.esercizinglese.com/lezioni-inglesi/esercizi-crocette/88/2/pronomi-e-gli-aggettivi-escama;498;89433;0;efad7f4c-f549-4099-9e25-861fc19ac9c2;1349;2|1|2|2|2|2|2;grammar_exercise;43
1366;"2021-01-03 10:57:40";2b7bd27b202fa697ab022cefd3b0278d;https://www.esercizinglese.com/lezioni-inglesi/esercizi/58/1/present-perfect-simple;17;89957;0;5c248a5d-4d0d-458a-9dc4-86680f279bf0;393;"|i have had toast beef|i have bene in corsica.|no, i have' t been ti the tate gallery yet.|yes i have done them.|yes, he has come yet.";grammar_exercise;80
1413;"2021-01-03 10:59:36";ec17e1a3e06470897598cc6f636754ab;https://www.esercizinglese.com/lezioni-inglesi/esercizi/1/1/l-infinito;6;89181;0;d457fac3-49a2-4438-8880-a7b5a18c2ec2;1264;"|he has an english teacher|they go at school every morning at 8.|we are your friends , don't worry!|they are happy today?|i go late for class|bob goes in budapest for work|the park is closed on weekends|you are ready?";grammar_exercise;71
1502;"2021-01-03 11:03:56";5752856995bbcb2c3f1278b3aa3b0f3c;https://www.esercizinglese.com/lezioni-inglesi/esercizi/5/3/l-articolo;31;89702;0;8024d0e9-eff1-4fa9-8a79-0d31607ee3bc;1349;|a|the|a|a|the|a|a|a|the;grammar_exercise;90
1532;"2021-01-03 11:05:29";ec17e1a3e06470897598cc6f636754ab;https://www.esercizinglese.com/lezioni-inglesi/esercizi/1/2/l-infinito;10;89181;0;d457fac3-49a2-4438-8880-a7b5a18c2ec2;1264;"|david and janet are not at the cinema , they are at home|my pc in not old , he is new|you are not thin, you are fat.|my name is not bill. it is bully.|she is not english, she is french |ronald and i are not friends, we are brothers";grammar_exercise;80
1549;"2021-01-03 11:06:16";2b7bd27b202fa697ab022cefd3b0278d;https://www.esercizinglese.com/lezioni-inglesi/esercizi/58/1/present-perfect-simple;19;89957;0;5c248a5d-4d0d-458a-9dc4-86680f279bf0;393;"|i have had roast beef.|i have been in corsica.|no, i have not been yet.|yes i have done it.|yes, he has come. ";grammar_exercise;80
1565;"2021-01-03 11:07:00";5752856995bbcb2c3f1278b3aa3b0f3c;https://www.esercizinglese.com/lezioni-inglesi/esercizi/5/4/l-articolo;33;89702;0;8024d0e9-eff1-4fa9-8a79-0d31607ee3bc;1349;|the|a|a|a|a|a;grammar_exercise;43
1637;"2021-01-03 11:11:24";ec17e1a3e06470897598cc6f636754ab;https://www.esercizinglese.com/lezioni-inglesi/esercizi/1/3/l-infinito;12;89181;0;d457fac3-49a2-4438-8880-a7b5a18c2ec2;1264;"|to do|to get|to call|to go|to not  waste |not to be |to go|to not buy|to not eat";grammar_exercise;68
1657;"2021-01-03 11:12:23";5752856995bbcb2c3f1278b3aa3b0f3c;https://www.esercizinglese.com/lezioni-inglesi/esercizi/5/5/l-articolo;35;89702;0;8024d0e9-eff1-4fa9-8a79-0d31607ee3bc;1349;|a|the|a|the|the|a;grammar_exercise;57
1667;"2021-01-03 11:12:50";ec17e1a3e06470897598cc6f636754ab;https://www.esercizinglese.com/lezioni-inglesi/esercizi/1/4/l-infinito;14;89181;0;d457fac3-49a2-4438-8880-a7b5a18c2ec2;1264;"|to made|to come|to be|to had|to dut|to found|to brought|to bought|to know";grammar_exercise;60
